종목,시장,공모희망가_저,공모희망가_고,공모가,업종,주관사,개인청약경쟁률,개인청약_시작,개인청약_종료,상장일,진행상태
웨이비스,코스닥,11000.0,12500.0,,반도체 제조업,대신증권,,2024-10-17,2024-10-18,,수요예측
사이냅소프트,코스닥,,,,소프트웨어 개발 및 공급업,NH투자증권,,,,,심사승인
에이치이엠파마,코스닥,16400.0,19000.0,,자연과학 및 공학 연구개발업,신한투자증권,,2024-10-24,2024-10-25,,심사승인
온코크로스,코스닥,,,,자연과학 및 공학 연구개발업,미래에셋증권,,,,,심사승인
루미르,코스닥,16500.0,20500.0,,"항공기,우주선 및 부품 제조업",NH투자증권,,2024-10-10,2024-10-11,,수요예측
리비콘,코스닥,,,,전자부품 제조업,신한투자증권,,,,,예심청구
에어레인,코스닥,16000.0,18500.0,,일반 목적용 기계 제조업,신영증권,,2024-10-24,2024-10-25,,심사승인
씨메스,코스닥,20000.0,24000.0,,특수 목적용 기계 제조업,삼성증권,,2024-10-15,2024-10-16,,심사승인
셀비온,코스닥,10000.0,12200.0,,의약품 제조업,대신증권,,2024-10-07,2024-10-08,,수요예측
인스피언,코스닥,8000.0,10000.0,,소프트웨어 개발 및 공급업,한국투자증권,,2024-10-07,2024-10-08,2024-10-18,수요예측
엔알비,코스닥,,,,기타 금속 가공제품 제조업,NH투자증권,,,,,예심청구
토모큐브,코스닥,10900.0,13400.0,,의료용 기기 제조업,대신증권,,2024-10-28,2024-10-29,2024-10-08,심사승인
클로봇,코스닥,9400.0,10900.0,,소프트웨어 개발 및 공급업,미래에셋증권,,2024-10-16,2024-10-17,,심사승인
에스엠랩,코스닥,,,,일차전지 및 축전지 제조업,"NH투자증권, 한국투자증권",,,,,예심청구
위츠,코스닥,5300.0,6400.0,,전자부품 제조업,신한투자증권,,2024-11-07,2024-11-08,,심사승인
키움제9호스팩,코스닥,,,2000.0,금융 지원 서비스업,키움증권,,2024-09-09,2024-09-10,,심사승인
제닉스,코스닥,28000.0,34000.0,40000.0,특수 목적용 기계 제조업,신영증권,895.62,2024-09-19,2024-09-20,2024-09-30,공모청약완료
성우,코스닥,25000.0,29000.0,,전자부품 제조업,한국투자증권,,2024-10-21,2024-10-22,,심사승인
와이즈넛,코스닥,,,,소프트웨어 개발 및 공급업,삼성증권,,,,,예심청구
다원메닥스,코스닥,,,,의료용 기기 제조업,"NH투자증권, DB금융투자",,,,,예심청구
쓰리빌리언,코스닥,4500.0,6500.0,,자연과학 및 공학 연구개발업,한국투자증권,,2024-10-11,2024-10-14,,심사승인
탑런토탈솔루션,코스닥,12000.0,14000.0,,전자부품 제조업,KB증권,,2024-10-23,2024-10-24,,심사승인
닷밀,코스닥,11000.0,13000.0,,전문디자인업,미래에셋증권,,2024-10-21,2024-10-22,,심사승인
에이치엔에스하이텍,코스닥,22000.0,26000.0,,전자부품 제조업,미래에셋증권,,2024-10-14,2024-10-15,,심사승인
와이제이링크,코스닥,8600.0,9800.0,,특수 목적용 기계 제조업,KB증권,,2024-10-10,2024-10-11,,수요예측
아이에스티이,코스닥,,,,반도체 제조업,KB증권,,,,,예심청구
엠오티,코스닥,12000.0,14000.0,,특수 목적용 기계 제조업,한국투자증권,,2024-10-28,2024-10-29,,심사승인
미트박스글로벌,코스닥,23000.0,28500.0,,기타 정보 서비스업,미래에셋증권,,2024-10-24,2024-10-25,,심사승인
대신밸런스제19호기업인수목적,코스닥,,,,금융 지원 서비스업,대신증권,,,,,심사승인
원포유,코스닥,,,,전기 통신업,IBK투자증권,,,,,예심청구
넥셀,코스닥,,,,자연과학 및 공학 연구개발업,NH투자증권,,,,,예심청구
온코닉테라퓨틱스,코스닥,,,,자연과학 및 공학 연구개발업,NH투자증권,,,,,예심청구
아이지넷,코스닥,,,,기타 정보 서비스업,한국투자증권,,,,,예심청구
에이럭스,코스닥,11500.0,13500.0,,소프트웨어 개발 및 공급업,한국투자증권,,2024-10-23,2024-10-24,,심사승인
데이원컴퍼니,코스닥,,,,기타 교육기관,"미래에셋증권, 삼성증권",,,,,심사승인
더본코리아,코스피,23000.0,28000.0,,상품 종합 도매업,"한국투자증권, NH투자증권",,2024-10-24,2024-10-25,,심사승인
벡트,코스닥,,,,기계장비 및 관련 물품 도매업,신한투자증권,,,,,예심청구
노머스,코스닥,27200.0,30200.0,,창작 및 예술관련 서비스업,대신증권,,2024-10-23,2024-10-24,,심사승인
아이코닉스,코스닥,,,,"영화, 비디오물, 방송프로그램 제작 및 배급업",한국투자증권,,,,,예심청구
마키나락스,코스닥,,,,소프트웨어 개발 및 공급업,삼성증권,,,,,예심청구
씨아이에스케미칼,코스닥,,,,기초 화학물질 제조업,KB증권,,,,,예심청구
쓰리에이로직스,코스닥,,,,반도체 제조업,"미래에셋증권, 신한투자증권",,,,,예심청구
동방메디컬,코스닥,9000.0,10500.0,,의료용 기기 제조업,NH투자증권,,2024-10-28,2024-10-29,,심사승인
심플랫폼,코스닥,,,,소프트웨어 개발 및 공급업,KB증권,,,,,예심청구
하나34호스팩,코스닥,,,,금융 지원 서비스업,하나증권,,,,,심사승인
엔더블유시,코스닥,,,,통신 및 방송 장비 제조업,교보증권,,,,,예심청구
위너스,코스닥,,,,그외 기타 제품 제조업,미래에셋증권,,,,,예심청구
케이뱅크,코스피,9500.0,12000.0,,은행 및 저축기관,"NH투자증권, KB증권, 메릴린치증권",,2024-10-21,2024-10-22,,심사승인
에스켐,코스닥,,,,기타 화학제품 제조업,NH투자증권,,,,,심사승인
동국생명과학,코스닥,,,,의약품 제조업,"NH투자증권, KB증권",,,,,심사승인
진캐스트,코스닥,,,,의료용품 및 기타 의약 관련제품 제조업,KB증권,,,,,예심청구
신한제14호스팩,코스닥,,,2000.0,금융 지원 서비스업,신한투자증권,,2024-10-10,2024-10-11,2024-10-15,수요예측
로킷헬스케어,코스닥,,,,의료용품 및 기타 의약 관련제품 제조업,SK증권,,,,,예심청구
용인전자,코스닥,,,,전자부품 제조업,미래에셋증권,,,,,예심청구
유진스팩11호,코스닥,,,2000.0,금융 지원 서비스업,유진투자증권,,2024-10-22,2024-10-23,,심사승인
오가노이드사이언스,코스닥,,,,자연과학 및 공학 연구개발업,한국투자증권,,,,,예심청구
앰틱스바이오,코스닥,,,,의약품 제조업,"대신증권, 유진투자증권",,,,,예심청구
더즌,코스닥,,,,소프트웨어 개발 및 공급업,한국투자증권,,,,,예심청구
웰랑,코스닥,,,,반도체 제조업,미래에셋증권,,,,,예심청구
베이스,코스닥,,,,그외 기타 제품 제조업,미정,,,,,예심청구
씨케이솔루션,코스피,,,,"건축기술, 엔지니어링 및 관련 기술 서비스업",NH투자증권,,,,,예심청구
럭스로보,코스닥,,,,소프트웨어 개발 및 공급업,삼성증권,,,,,예심청구
신한제15호스팩,코스닥,,,2000.0,금융 지원 서비스업,신한투자증권,,2024-11-05,2024-11-06,,심사승인
이노테크,코스닥,,,,특수 목적용 기계 제조업,KB증권,,,,,예심청구
한켐,코스닥,12500.0,14500.0,,기초 화학물질 제조업,신영증권,,2024-10-07,2024-10-08,,수요예측
파인메딕스,코스닥,,,,의료용 기기 제조업,한국투자증권,,,,,심사승인
서울보증보험,코스피,,,,보험업,"삼성증권, 미래에셋증권",,,,,예심청구
엔씨켐,코스닥,,,,기타 화학제품 제조업,KB증권,,,,,예심청구
레드엔비아,코스닥,,,,의약품 제조업,미래에셋증권,,,,,예심청구
디비금융제13호스팩,코스닥,,,,기타 금융업,DB금융투자,,,,,예심청구
엘에스이링크,코스닥,,,,전기업,"미래에셋증권, 한국투자증권",,,,,예심청구
엠앤씨솔루션,코스피,,,,특수 목적용 기계 제조업,KB증권,,,,,예심청구
듀켐바이오,코스닥,,,,의약품 제조업,NH투자증권,,,,,예심청구
인투셀,코스닥,,,,자연과학 및 공학 연구개발업,미래에셋증권,,,,,예심청구
원일티엔아이,코스닥,,,,일반 목적용 기계 제조업,NH투자증권,,,,,예심청구
엠디바이스,코스닥,,,,전자부품 제조업,삼성증권,,,,,예심청구
에이스엔지니어링,코스피,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","키움증권, NH투자증권",,,,,예심청구
아스테라시스,코스닥,,,,의료용 기기 제조업,DB금융투자,,,,,예심청구
교보17호스팩,코스닥,,,,기타 금융업,교보증권,,,,,예심청구
메를로랩,코스닥,,,,통신 및 방송 장비 제조업,NH투자증권,,,,,예심청구
대진첨단소재,코스닥,,,,플라스틱제품 제조업,미래에셋증권,,,,,예심청구
나우로보틱스,코스닥,,,,특수 목적용 기계 제조업,"대신증권, iM증권",,,,,예심청구
