종목,시장,공모희망가_저,공모희망가_고,공모가,업종,주관사,개인청약경쟁률,개인청약_시작,개인청약_종료,상장일,진행상태
샤페론,코스닥,8200.0,10200.0,,의학 및 약학 연구개발업,NH투자증권,,2022-09-26,2022-09-27,,심사승인
핀텔,코스닥,7500.0,8900.0,,소프트웨어 개발 및 공급업,대신증권,,2022-09-20,2022-09-21,,심사승인
선바이오,코스닥,14000.0,16000.0,,의약품 제조업,하나금융투자,,2022-09-13,2022-09-14,,심사승인
더블유씨피,코스닥,80000.0,100000.0,,일차전지 및 축전지 제조업,"KB증권, 신한금융투자",,2022-09-20,2022-09-21,,심사승인
알피바이오,코스닥,10000.0,13000.0,,의약품 제조업,한국투자증권,,2022-09-20,2022-09-21,,심사승인
메를로랩,코스닥,,,,통신 및 방송 장비 제조업,NH투자증권,,,,,예심청구
컬리,코스피,,,,음·식료품 및 담배 소매업,"한국투자증권, NH투자증권, 제이피모간증권",,,,,심사승인
뉴로메카,코스닥,,,,특수 목적용 기계 제조업,대신증권,,,,,심사승인
에스비비테크,코스닥,10100.0,12400.0,,일반 목적용 기계 제조업,미래에셋증권,,2022-09-22,2022-09-23,,심사승인
모델솔루션,코스닥,24000.0,27000.0,,특수 목적용 기계 제조업,KB증권,,2022-09-26,2022-09-27,,심사승인
오픈엣지테크놀로지,코스닥,15000.0,18000.0,,소프트웨어 개발 및 공급업,삼성증권,,2022-09-15,2022-09-16,,심사승인
네오랩컨버전스,코스닥,,,,통신 및 방송 장비 제조업,키움증권,,,,,예심청구
지아이이노베이션,코스닥,,,,자연과학 및 공학 연구개발업,"하나증권, NH투자증권, 삼성증권",,,,,예심청구
이노룰스,코스닥,11000.0,12500.0,,소프트웨어 개발 및 공급업,NH투자증권,,2022-09-27,2022-09-28,,심사승인
골프존카운티,코스피,,,,스포츠 서비스업,"삼성증권, NH투자증권, 모건스탠리증권",,,,,심사승인
플라즈맵,코스닥,9000.0,11000.0,,그 외 기타 의료용 기기 제조업,미래에셋증권,,2022-09-26,2022-09-27,,심사승인
자람테크놀로지,코스닥,,,,반도체 제조업,신영증권,,,,,예심청구
오에스피,코스닥,6300.0,8400.0,,동물용 사료 및 조제식품 제조업,대신증권,,2022-10-04,2022-10-05,,심사승인
블루포인트파트너스,코스닥,,,,회사 본부 및 경영 컨설팅 서비스업,한국투자증권,,,,,예심청구
지씨티세미컨덕터,코스닥,,,,반도체 제조업,"하나금융투자, 삼성증권",,,,,예심청구
레메디,코스닥,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",미래에셋증권,,,,,예심청구
골프존커머스,코스닥,,,,생활용품 도매업,한국투자증권,,,,,예심청구
제이오,코스닥,,,,"건축기술, 엔지니어링 및 관련 기술 서비스업",한국투자증권,,,,,예심청구
탑머티리얼,코스닥,,,,축전지 제조업,한국투자증권,,,,,심사승인
